"Title","Genre","Company","AgeRating","Year","Rating","RatingCount","Director","Writer","Star","Budget","Revenue","RunTime","Country","Profit"
"The Expendables","Thriller","Millennium Films","R",2010,6.5,331000,"Sylvester Stallone","Dave Callaham","Sylvester Stallone",80000000,274470394,103,"United States",194470394
"Mission: Impossible","Adventure","Paramount Pictures","PG-13",1996,7.1,398000,"Brian De Palma","Bruce Geller","Tom Cruise",80000000,457696359,110,"United States",377696359
"The Hunger Games","Science Fiction","Lionsgate","PG-13",2012,7.2,862000,"Gary Ross","Gary Ross","Jennifer Lawrence",75000000,691210692,142,"United States",616210692
"Lilo & Stitch","Animation","Walt Disney Pictures","PG",2002,7.3,174000,"Dean DeBlois","Chris Sanders","Daveigh Chase",80000000,145771527,85,"United States",65771527
"Charlotte's Web","Comedy","Paramount Pictures","G",2006,6.3,39000,"Gary Winick","Susannah Grant","Dakota Fanning",85000000,1.44e+08,97,"United States",5.9e+07
"Deep Impact","Action","Paramount Pictures","PG-13",1998,6.2,168000,"Mimi Leder","Bruce Joel Rubin","Robert Duvall",75000000,140464664,120,"United States",65464664
"The Longest Yard","Comedy","Paramount Pictures","PG-13",2005,6.4,167000,"Peter Segal","Albert S. Ruddy","Adam Sandler",82000000,190320568,113,"United States",108320568
"Alvin and the Chipmunks: Chipwrecked","Comedy","Fox 2000 Pictures","G",2011,4.3,33000,"Mike Mitchell","Jonathan Aibel","Justin Long",75000000,342695435,87,"United States",267695435
"Grown Ups 2","Comedy","Columbia Pictures","PG-13",2013,5.4,144000,"Dennis Dugan","Fred Wolf","Adam Sandler",80000000,246984278,100,"United States",166984278
"Shutter Island","Drama","Paramount Pictures","R",2010,8.2,1200000,"Martin Scorsese","Laeta Kalogridis","Leonardo DiCaprio",80000000,294804195,138,"United States",214804195
"Four Christmases","Comedy","New Line Cinema","PG-13",2008,5.7,67000,"Seth Gordon","Matt Allen","Reese Witherspoon",80000000,163733697,88,"Germany",83733697
"Bedtime Stories","Fantasy","Walt Disney Pictures","PG",2008,6,90000,"Adam Shankman","Matt Lopez","Adam Sandler",80000000,212874442,99,"United States",132874442
"Just Go with It","Romance","Columbia Pictures","PG-13",2011,6.4,227000,"Dennis Dugan","Allan Loeb","Adam Sandler",80000000,214918407,117,"United States",134918407
"The Book of Eli","Action","Alcon Entertainment","R",2010,6.9,3e+05,"Albert Hughes","Gary Whitta","Denzel Washington",80000000,157107755,118,"United States",77107755
"Flubber","Comedy","Walt Disney Pictures","PG",1997,5.3,86000,"Les Mayfield","Samuel W. Taylor","Robin Williams",80000000,177977226,93,"United States",97977226
"Space Jam","Animation","Warner Bros. Family Entertainment","PG",1996,6.5,175000,"Joe Pytka","Leo Benvenuti","Michael Jordan",80000000,250200000,88,"United States",170200000
"Fury","War","Columbia Pictures","R",2014,7.6,442000,"David Ayer","David Ayer","Brad Pitt",68000000,211817906,135,"United States",143817906
"Six Days Seven Nights","Action","Caravan Pictures","PG-13",1998,5.8,74000,"Ivan Reitman","Michael Browning","Harrison Ford",70000000,1.64e+08,98,"United States",9.4e+07
"Zookeeper","Comedy","Columbia Pictures","PG",2011,5.2,59000,"Frank Coraci","Nick Bakay","Kevin James",80000000,169852759,102,"United States",89852759
"Lost in Space","Adventure","New Line Cinema","PG-13",1998,5.2,70000,"Stephen Hopkins","Irwin Allen","Gary Oldman",80000000,136159423,130,"United States",56159423
"The Manchurian Candidate","Drama","Paramount Pictures","R",2004,6.6,107000,"Jonathan Demme","Richard Condon","Denzel Washington",80000000,96105964,129,"United States",16105964
"Hotel Transylvania 2","Animation","Columbia Pictures","PG",2015,6.7,113000,"Genndy Tartakovsky","Robert Smigel","Adam Sandler",80000000,473226958,89,"United States",393226958
"Fantasia 2000","Animation","Walt Disney Pictures","G",1999,7.2,36000,"Directors","Eric Goldberg","James Levine",80000000,90874570,74,"United States",10874570
"Mars Attacks!","Comedy","Tim Burton Productions","PG-13",1996,6.3,214000,"Tim Burton","Len Brown","Jack Nicholson",70000000,101371017,106,"United States",31371017
"Surrogates","Action","Touchstone Pictures","PG-13",2009,6.3,171000,"Jonathan Mostow","Michael Ferris","Bruce Willis",80000000,122444772,89,"United States",42444772
"Thirteen Days","Drama","New Line Cinema","PG-13",2000,7.3,55000,"Roger Donaldson","David Self","Kevin Costner",80000000,34566746,145,"United States",-45433254
"Daylight","Action","Universal Pictures","PG-13",1996,5.9,68000,"Rob Cohen","Leslie Bohem","Sylvester Stallone",80000000,159212469,115,"United States",79212469
"Nine","Drama","The Weinstein Company","PG-13",2009,5.8,43000,"Rob Marshall","Michael Tolkin","Daniel Day-Lewis",80000000,53825515,112,"United Kingdom",-26174485
"Timeline","Action","Paramount Pictures","PG-13",2003,5.7,61000,"Richard Donner","Michael Crichton","Paul Walker",80000000,19480739,116,"United States",-60519261
"The Postman","Drama","Tig Productions","R",1997,6.1,70000,"Kevin Costner","David Brin","Kevin Costner",80000000,17626234,177,"United States",-62373766
"Babe: Pig in the City","Adventure","Kennedy Miller Productions","PG",1998,5.8,32000,"George Miller","George Miller","Magda Szubanski",90000000,69131860,92,"Australia",-20868140
"The Last Witch Hunter","Fantasy","Summit Entertainment","PG-13",2015,6,98000,"Breck Eisner","Cory Goodman","Vin Diesel",90000000,146936910,106,"United States",56936910
"The Lion King","Family","Walt Disney Pictures","G",1994,8.5,970000,"Roger Allers","Irene Mecchi","Matthew Broderick",45000000,788241776,89,"United States",743241776
"The Lion King","Family","Walt Disney Pictures","PG",2019,6.9,222000,"Jon Favreau","Jeff Nathanson","Donald Glover",45000000,788241776,89,"United States",743241776
"Journey 2: The Mysterious Island","Adventure","New Line Cinema","PG",2012,5.8,96000,"Brad Peyton","Brian Gunn","Josh Hutcherson",79000000,355692760,94,"United States",276692760
"Cloudy with a Chance of Meatballs 2","Animation","Columbia Pictures","PG",2013,6.4,94000,"Cody Cameron","Erica Rivinoja","Bill Hader",78000000,248384621,95,"United States",170384621
"Red Dragon","Crime","Universal Pictures","R",2002,7.2,259000,"Brett Ratner","Thomas Harris","Anthony Hopkins",78000000,209196298,124,"Germany",131196298
"Jack and Jill","Comedy","Columbia Pictures","PG",2011,3.3,80000,"Dennis Dugan","Ben Zook","Adam Sandler",79000000,149673788,91,"United States",70673788
"The Little Prince","Adventure","Onyx Films","PG",2015,7.7,58000,"Mark Osborne","Irena Brignull","Jeff Bridges",64000000,97571250,92,"France",33571250
"The Secret Life of Pets","Animation","Universal Pictures","PG",2016,6.5,188000,"Chris Renaud","Cinco Paul","Louis C.K.",75000000,875958308,87,"United States",800958308
"Despicable Me 2","Animation","Universal Pictures","PG",2013,7.3,377000,"Pierre Coffin","Cinco Paul","Steve Carell",76000000,970761885,98,"United States",894761885
"The Lost World: Jurassic Park","Adventure","Universal Pictures","PG-13",1997,6.6,388000,"Steven Spielberg","Michael Crichton","Jeff Goldblum",73000000,229074524,129,"United States",156074524
"Children of Men","Drama","Universal Pictures","R",2006,7.9,474000,"Alfonso Cuarón","Alfonso Cuarón","Julianne Moore",76000000,69959751,109,"United States",-6040249
"Wanted","Action","Universal Pictures","R",2008,6.7,369000,"Timur Bekmambetov","Michael Brandt","Angelina Jolie",75000000,258270008,110,"United States",183270008
"The Rock","Action","Hollywood Pictures","R",1996,7.4,319000,"Michael Bay","David Weisberg","Sean Connery",75000000,335062621,136,"United States",260062621
"Hairspray","Family","New Line Cinema","PG",1988,7,20000,"John Waters","John Waters","Sonny Bono",50000000,90450008,117,"United States",40450008
"Hairspray","Family","New Line Cinema","PG",2007,6.6,122000,"Adam Shankman","Leslie Dixon","John Travolta",50000000,90450008,117,"United States",40450008
"Now You See Me","Thriller","Summit Entertainment","PG-13",2013,7.2,612000,"Louis Leterrier","Ed Solomon","Jesse Eisenberg",75000000,117698894,115,"United States",42698894
"Grown Ups","Comedy","Columbia Pictures","PG-13",2010,5.9,233000,"Dennis Dugan","Adam Sandler","Adam Sandler",80000000,271430189,102,"United States",191430189
"Charlie Wilson's War","Comedy","Universal Pictures","R",2007,7,113000,"Mike Nichols","Aaron Sorkin","Tom Hanks",75000000,119000410,102,"United States",44000410
"Monster House","Animation","Columbia Pictures","PG",2006,6.6,106000,"Gil Kenan","Dan Harmon","Mitchel Musso",75000000,140175006,91,"United States",65175006
"Snake Eyes","Crime","Paramount Pictures","R",1998,6,77000,"Brian De Palma","Brian De Palma","Nicolas Cage",73000000,103891409,98,"United States",30891409
"The Angry Birds Movie","Family","Columbia Pictures","PG",2016,6.3,84000,"Clay Kaytis","Jon Vitti","Jason Sudeikis",73000000,349779543,97,"Finland",276779543
"The Kingdom","Thriller","Universal Pictures","R",2007,7,121000,"Peter Berg","Matthew Michael Carnahan","Jamie Foxx",70000000,86658558,110,"United States",16658558
"Braveheart","Action","Icon Entertainment International","R",1995,8.3,978000,"Mel Gibson","Randall Wallace","Mel Gibson",72000000,2.1e+08,177,"United States",1.38e+08
"Jarhead","Drama","Universal Pictures","R",2005,7,179000,"Sam Mendes","William Broyles Jr.","Jake Gyllenhaal",72000000,96889998,125,"United States",24889998
"Runaway Bride","Comedy","Paramount Pictures","PG",1999,5.6,95000,"Garry Marshall","Josann McGibbon","Julia Roberts",70000000,309457509,116,"United States",239457509
"Ransom","Action","Touchstone Pictures","R",1996,6.7,121000,"Ron Howard","Cyril Hume","Mel Gibson",80000000,309492681,117,"United States",229492681
"Inglourious Basterds","Drama","Universal Pictures","R",2009,8.3,1300000,"Quentin Tarantino","Quentin Tarantino","Brad Pitt",70000000,319131050,153,"United States",249131050
"Hook","Adventure","Amblin Entertainment","PG",1991,6.8,240000,"Steven Spielberg","J.M. Barrie","Dustin Hoffman",70000000,300854823,144,"United States",230854823
"Vanilla Sky","Drama","Paramount Pictures","R",2001,6.9,253000,"Cameron Crowe","Alejandro Amenábar","Tom Cruise",68000000,203388341,136,"United States",135388341
"We Were Soldiers","Action","Icon Entertainment International","R",2002,7.2,133000,"Randall Wallace","Harold G. Moore","Mel Gibson",75000000,114660784,138,"United States",39660784
"Star Trek: Insurrection","Science Fiction","Paramount Pictures","PG",1998,6.4,72000,"Jonathan Frakes","Gene Roddenberry","Patrick Stewart",70000000,1.18e+08,103,"United States",4.8e+07
"Big Fish","Adventure","Columbia Pictures","PG-13",2003,8,422000,"Tim Burton","Daniel Wallace","Ewan McGregor",70000000,122919055,125,"United States",52919055
"The Monuments Men","War","Columbia Pictures","PG-13",2014,6.1,127000,"George Clooney","George Clooney","George Clooney",70000000,154984035,118,"United States",84984035
"Dracula Untold","Horror","Universal Pictures","PG-13",2014,6.3,184000,"Gary Shore","Matt Sazama","Luke Evans",70000000,215529201,92,"United States",145529201
"Stardust","Adventure","Paramount Pictures","PG-13",2007,7.6,260000,"Matthew Vaughn","Jane Goldman","Charlie Cox",70000000,135560026,127,"United Kingdom",65560026
"Rock of Ages","Comedy","New Line Cinema","PG-13",2012,5.9,75000,"Adam Shankman","Justin Theroux","Julianne Hough",75000000,59418613,123,"United States",-15581387
"Sky Captain and the World of Tomorrow","Mystery","Paramount Pictures","PG",2004,6,83000,"Kerry Conran","Kerry Conran","Gwyneth Paltrow",70000000,57958696,107,"United States",-12041304
"Escape Plan","Action","Summit Entertainment","R",2013,6.7,232000,"Mikael Håfström","Miles Chapman","Sylvester Stallone",50000000,122915111,115,"United States",72915111
"The Sum of All Fears","Thriller","Paramount Pictures","PG-13",2002,6.4,108000,"Phil Alden Robinson","Tom Clancy","Ben Affleck",68000000,1.93e+08,124,"United States",1.25e+08
"The Twilight Saga: Eclipse","Adventure","Summit Entertainment","PG-13",2010,5,233000,"David Slade","Melissa Rosenberg","Kristen Stewart",68000000,698491347,124,"United States",630491347
"The Score","Action","Paramount Pictures","R",2001,6.8,124000,"Frank Oz","Daniel E. Taylor","Robert De Niro",68000000,71069884,124,"Germany",3069884
"Despicable Me","Animation","Universal Pictures","PG",2010,7.6,512000,"Pierre Coffin","Cinco Paul","Steve Carell",69000000,543513985,95,"United States",474513985
"Money Train","Action","Columbia Pictures","R",1995,5.7,39000,"Joseph Ruben","Doug Richardson","Wesley Snipes",60000000,35431113,103,"United States",-24568887
"Ted 2","Comedy","Universal Pictures","R",2015,6.3,191000,"Seth MacFarlane","Seth MacFarlane","Mark Wahlberg",68000000,217022588,115,"United States",149022588
"Mystery Men","Adventure","Universal Pictures","PG-13",1999,6.1,64000,"Kinka Usher","Neil Cuthbert","Ben Stiller",68000000,29762011,121,"United States",-38237989
"Hall Pass","Comedy","New Line Cinema","R",2011,5.8,121000,"Bobby Farrelly","Pete Jones","Owen Wilson",36000000,83160734,105,"United States",47160734
"The Finest Hours","Action","Walt Disney Pictures","PG-13",2016,6.8,63000,"Craig Gillespie","Scott Silver","Chris Pine",80000000,52099090,114,"United States",-27900910
"Dinner for Schmucks","Comedy","Paramount Pictures","PG-13",2010,5.9,103000,"Jay Roach","David Guion","Steve Carell",69000000,86387857,114,"United States",17387857
"What Women Want","Comedy","Paramount Pictures","PG-13",2000,6.4,197000,"Nancy Meyers","Josh Goldsmith","Mel Gibson",70000000,374111707,127,"United States",304111707
"The Santa Clause 2","Fantasy","Walt Disney Pictures","G",2002,5.7,52000,"Michael Lembeck","Don Rhymer","Tim Allen",65000000,172855065,104,"United States",107855065
"Les Misérables","Drama","Universal Pictures","PG-13",2012,7.6,315000,"Tom Hooper","William Nicholson","Hugh Jackman",61000000,441809770,157,"United Kingdom",380809770
"You've Got Mail","Comedy","Warner Bros.","PG",1998,6.7,2e+05,"Nora Ephron","Miklós László","Tom Hanks",65000000,250821495,119,"United States",185821495
"Step Brothers","Comedy","Columbia Pictures","R",2008,6.9,274000,"Adam McKay","Will Ferrell","Will Ferrell",65000000,128107642,98,"United States",63107642
"World Trade Center","Drama","Paramount Pictures","PG-13",2006,5.9,79000,"Oliver Stone","Andrea Berloff","Nicolas Cage",63000000,162945894,128,"United States",99945894
"The Dictator","Comedy","Paramount Pictures","R",2012,6.4,286000,"Larry Charles","Sacha Baron Cohen","Sacha Baron Cohen",65000000,179379533,83,"United States",114379533
"Annie","Comedy","Columbia Pictures","PG",1982,6.6,41000,"John Huston","Carol Sobieski","Aileen Quinn",65000000,133821816,119,"United States",68821816
"Focus","Romance","Kramer & Sigman Films","R",2015,6.6,226000,"Glenn Ficarra","Glenn Ficarra","Will Smith",50100000,153962963,105,"United States",103862963
"Blade: Trinity","Science Fiction","New Line Cinema","R",2004,5.8,169000,"David S. Goyer","David S. Goyer","Wesley Snipes",65000000,128905366,123,"United States",63905366
"Red Dawn","Action","United Artists","PG-13",1984,6.4,53000,"John Milius","Kevin Reynolds","Patrick Swayze",4200000,38376497,114,"United States",34176497
"Death Race","Action","Universal Pictures","R",2008,6.3,201000,"Paul W.S. Anderson","Paul W.S. Anderson","Jason Statham",45000000,73762516,105,"United States",28762516
"The Long Kiss Goodnight","Crime","New Line Cinema","R",1996,6.8,76000,"Renny Harlin","Shane Black","Geena Davis",65000000,89456761,120,"United States",24456761
"Hudson Hawk","Action","TriStar Pictures","R",1991,5.8,54000,"Michael Lehmann","Bruce Willis","Bruce Willis",65000000,17218080,100,"United States",-47781920
"Oliver Twist","Crime","R.P. Productions","PG-13",2005,6.8,32000,"Roman Polanski","Charles Dickens","Barney Clark",50000000,42093706,130,"France",-7906294
"Random Hearts","Drama","Columbia Pictures","R",1999,5.2,20000,"Sydney Pollack","Warren Adler","Harrison Ford",64000000,74608570,133,"United States",10608570
"Austin Powers in Goldmember","Comedy","New Line Cinema","PG-13",2002,6.2,199000,"Jay Roach","Mike Myers","Mike Myers",63000000,296655431,94,"United States",233655431
"Jurassic Park","Adventure","Universal Pictures","PG-13",1993,8.1,894000,"Steven Spielberg","Michael Crichton","Sam Neill",63000000,920100000,127,"United States",857100000
"Little Man","Comedy","Revolution Studios","PG-13",2006,4.5,52000,"Keenen Ivory Wayans","Keenen Ivory Wayans","Shawn Wayans",64000000,101595121,98,"United States",37595121
"U-571","Action","Universal Pictures","PG-13",2000,6.6,79000,"Jonathan Mostow","Jonathan Mostow","Matthew McConaughey",62000000,127666415,116,"France",65666415
"The Love Guru","Comedy","Paramount Pictures","PG-13",2008,3.8,51000,"Marco Schnabel","Mike Myers","Mike Myers",62000000,41819064,87,"United Kingdom",-20180936
"3000 Miles to Graceland","Action","Franchise Pictures","R",2001,6,45000,"Demian Lichtenstein","Richard Recco","Kurt Russell",62000000,18720175,125,"United States",-43279825
"Hop","Animation","Universal Pictures","PG",2011,5.4,32000,"Tim Hill","Cinco Paul","Russell Brand",63000000,183953723,95,"United States",120953723
"The Green Mile","Fantasy","Castle Rock Entertainment","R",1999,8.6,1200000,"Frank Darabont","Stephen King","Tom Hanks",60000000,284600000,189,"United States",224600000
"Chicken Little","Animation","Walt Disney Pictures","G",2005,5.7,88000,"Mark Dindal","Mark Dindal","Zach Braff",150000000,314432665,81,"United States",164432665
"The Bourne Identity","Action","Universal Pictures","PG-13",2002,7.9,519000,"Doug Liman","Tony Gilroy","Franka Potente",60000000,214034224,119,"United States",154034224
"The General's Daughter","Crime","Paramount Pictures","R",1999,6.4,55000,"Simon West","Nelson DeMille","John Travolta",60000000,149705852,116,"United States",89705852
"The Truman Show","Comedy","Paramount Pictures","PG",1998,8.1,972000,"Peter Weir","Andrew Niccol","Jim Carrey",60000000,264118201,103,"United States",204118201
"Couples Retreat","Comedy","Universal Pictures","PG-13",2009,5.5,104000,"Peter Billingsley","Jon Favreau","Vince Vaughn",70000000,171844840,113,"United States",101844840
"Maze Runner: The Scorch Trials","Action","Gotham Group","PG-13",2015,6.3,230000,"Wes Ball","T.S. Nowlin","Dylan O'Brien",61000000,311256926,132,"United States",250256926
"Eat Pray Love","Drama","Columbia Pictures","PG-13",2010,5.8,92000,"Ryan Murphy","Ryan Murphy","Julia Roberts",60000000,204594016,133,"United States",144594016
"Collateral","Drama","Paramount Pictures","R",2004,7.5,373000,"Michael Mann","Stuart Beattie","Tom Cruise",65000000,217764291,120,"United States",152764291
"The Scorpion King","Action","Universal Pictures","PG-13",2002,5.5,133000,"Chuck Russell","Stephen Sommers","Dwayne Johnson",60000000,165333180,92,"United States",105333180
"Jack Reacher","Crime","Paramount Pictures","PG-13",2012,7,317000,"Christopher McQuarrie","Lee Child","Tom Cruise",60000000,218340595,130,"United States",158340595
"Coraline","Animation","Focus Features","PG",2009,7.7,204000,"Henry Selick","Henry Selick","Dakota Fanning",60000000,124596398,100,"United States",64596398
"Hellboy","Fantasy","Revolution Studios","PG-13",2004,6.8,312000,"Guillermo del Toro","Guillermo del Toro","Ron Perlman",66000000,99318987,122,"United States",33318987
"ParaNorman","Family","Focus Features","PG",2012,7,96000,"Chris Butler","Chris Butler","Kodi Smit-McPhee",60000000,107139399,90,"United States",47139399
"The Jackal","Action","Universal Pictures","R",1997,6.4,109000,"Michael Caton-Jones","Kenneth Ross","Bruce Willis",60000000,159330280,124,"United States",99330280
"Paycheck","Action","Paramount Pictures","PG-13",2003,6.3,105000,"John Woo","Philip K. Dick","Ben Affleck",60000000,96269812,119,"United States",36269812
"Jack Ryan: Shadow Recruit","Action","Paramount Pictures","PG-13",2014,6.2,126000,"Kenneth Branagh","Adam Cozad","Chris Pine",60000000,50549107,105,"United States",-9450893
"Joy","Drama","Fox 2000 Pictures","PG-13",2015,6.6,131000,"David O. Russell","David O. Russell","Jennifer Lawrence",60000000,101134059,124,"United States",41134059
"London Has Fallen","Action","Millennium Films","R",2016,5.9,149000,"Babak Najafi","Creighton Rothenberger","Gerard Butler",60000000,205754447,99,"United States",145754447
"Shooter","Action","Paramount Pictures","R",2007,7.2,317000,"Antoine Fuqua","Jonathan Lemkin","Mark Wahlberg",61000000,95696996,124,"United States",34696996
"Year One","Comedy","Columbia Pictures","PG-13",2009,4.9,94000,"Harold Ramis","Harold Ramis","Jack Black",60000000,62357900,97,"United States",2357900
"State of Play","Action","Universal Pictures","PG-13",2009,7.1,145000,"Kevin Macdonald","Matthew Michael Carnahan","Russell Crowe",60000000,87784194,127,"United States",27784194
"Duplicity","Romance","Universal Pictures","PG-13",2009,6.2,49000,"Tony Gilroy","Tony Gilroy","Julia Roberts",78146652,6e+07,125,"United States",-18146652
"My Favorite Martian","Comedy","Walt Disney Pictures","PG",1999,5.1,13000,"Donald Petrie","John L. Greene","Christopher Lloyd",65000000,36850101,94,"United States",-28149899
"Planet 51","Science Fiction","TriStar Pictures","PG",2009,6,52000,"Jorge Blanco","Joe Stillman","Dwayne Johnson",70000000,104945765,91,"Spain",34945765
"Star Trek: Nemesis","Science Fiction","Paramount Pictures","PG-13",2002,6.4,75000,"Stuart Baird","Gene Roddenberry","Patrick Stewart",60000000,67312826,117,"United States",7312826
"Almost Famous","Drama","Columbia Pictures","R",2000,7.9,260000,"Cameron Crowe","Cameron Crowe","Billy Crudup",60000000,47383689,122,"United States",-12616311
"Priest","Action","Screen Gems","PG-13",2011,5.7,117000,"Scott Stewart","Cory Goodman","Paul Bettany",60000000,78309131,87,"United States",18309131
"Dragonfly","Drama","Universal Pictures","PG-13",2002,6.1,37000,"Tom Shadyac","Brandon Camp","Kevin Costner",60000000,52322400,104,"United States",-7677600
"The Black Dahlia","Drama","Universal Pictures","R",2006,5.6,72000,"Brian De Palma","Josh Friedman","Josh Hartnett",50000000,49111202,121,"United States",-888798
"Winter's Tale","Drama","Village Roadshow Pictures","PG-13",2014,6.2,53000,"Akiva Goldsman","Akiva Goldsman","Colin Farrell",60000000,30800231,118,"United States",-29199769
"Inkheart","Adventure","New Line Cinema","PG",2008,6.1,75000,"Iain Softley","David Lindsay-Abaire","Brendan Fraser",60000000,57490374,106,"Germany",-2509626
"The Flintstones in Viva Rock Vegas","Science Fiction","Universal Pictures","PG",2000,3.7,22000,"Brian Levant","William Hanna","Mark Addy",83000000,59468275,90,"United States",-23531725
"Leatherheads","Comedy","Universal Pictures","PG-13",2008,6,32000,"George Clooney","Duncan Brantley","George Clooney",58000000,41299492,114,"United States",-16700508
"Did You Hear About the Morgans?","Comedy","Columbia Pictures","PG-13",2009,4.9,39000,"Marc Lawrence","Marc Lawrence","Hugh Grant",58000000,85280250,103,"United States",27280250
"That's My Boy","Comedy","Columbia Pictures","R",2012,5.5,94000,"Sean Anders","David Caspe","Adam Sandler",70000000,58058367,116,"United States",-11941633
"DragonHeart","Fantasy","Universal Pictures","PG-13",1996,6.5,93000,"Rob Cohen","Patrick Read Johnson","Dennis Quaid",57000000,115267375,103,"United States",58267375
"After the Sunset","Action","New Line Cinema","PG-13",2004,6.3,45000,"Brett Ratner","Paul Zbyszewski","Pierce Brosnan",60000000,61347797,97,"United States",1347797
"Ghost Rider: Spirit of Vengeance","Action","Columbia Pictures","PG-13",2011,4.3,113000,"Mark Neveldine","Scott M. Gimple","Nicolas Cage",57000000,149217355,95,"United States",92217355
"The Pacifier","Action","Walt Disney Pictures","PG",2005,5.6,90000,"Adam Shankman","Thomas Lennon","Vin Diesel",56000000,113006880,95,"Canada",57006880
"Walking Tall","Adventure","Metro-Goldwyn-Mayer (MGM)","PG-13",2004,6.3,72000,"Kevin Bray","Mort Briskin","Dwayne Johnson",56000000,57223890,86,"United States",1223890
"Forrest Gump","Comedy","Paramount Pictures","PG-13",1994,8.8,1900000,"Robert Zemeckis","Winston Groom","Tom Hanks",55000000,677945399,142,"United States",622945399
"Pocahontas","Adventure","Walt Disney Pictures","G",1995,6.7,175000,"Mike Gabriel","Carl Binder","Mel Gibson",55000000,346079773,81,"United States",291079773
"The Nutty Professor","Fantasy","Imagine Entertainment","PG-13",1996,5.6,112000,"Tom Shadyac","Jerry Lewis","Eddie Murphy",54000000,128769345,95,"United States",74769345
"American Wedding","Comedy","Universal Pictures","R",2003,6.3,198000,"Jesse Dylan","Adam Herz","Jason Biggs",55000000,231449203,103,"United States",176449203
"Casper","Fantasy","Universal Pictures","PG",1995,6.1,125000,"Brad Silberling","Joseph Oriolo","Bill Pullman",50000000,287928194,100,"United States",237928194
"The Equalizer","Thriller","Columbia Pictures","R",2014,7.2,344000,"Antoine Fuqua","Richard Wenk","Denzel Washington",55000000,192330738,132,"United States",137330738
"Crimson Tide","Action","Hollywood Pictures","R",1995,7.3,105000,"Tony Scott","Michael Schiffer","Gene Hackman",53000000,157387195,116,"United States",104387195
"Disclosure","Drama","Warner Bros.","R",1994,6.1,48000,"Barry Levinson","Michael Crichton","Michael Douglas",55000000,214015089,123,"United States",159015089
"City of Angels","Drama","Atlas Entertainment","PG-13",1998,6.7,116000,"Brad Silberling","Wim Wenders","Nicolas Cage",55000000,198685114,114,"United States",143685114
"Tango & Cash","Action","Warner Bros.","R",1989,6.4,98000,"Andrey Konchalovskiy","Randy Feldman","Sylvester Stallone",55000000,63408614,104,"United States",8408614
"Death Becomes Her","Fantasy","Universal Pictures","PG-13",1992,6.6,108000,"Robert Zemeckis","Martin Donovan","Meryl Streep",55000000,149022650,104,"United States",94022650
"The Forbidden Kingdom","Action","Casey Silver Productions","PG-13",2008,6.6,103000,"Rob Minkoff","John Fusco","Jackie Chan",55000000,127906624,104,"United States",72906624
"Evita","History","Hollywood Pictures","PG",1996,6.3,34000,"Alan Parker","Tim Rice","Madonna",55000000,141047179,134,"United States",86047179
"The Hunted","Drama","Lakeshore Entertainment","R",2003,6.1,45000,"William Friedkin","David Griffiths","Tommy Lee Jones",55000000,34234008,94,"United States",-20765992
"Changeling","Crime","Imagine Entertainment","R",2008,7.7,244000,"Clint Eastwood","J. Michael Straczynski","Angelina Jolie",55000000,113020255,141,"United States",58020255
"The Fan","Drama","TriStar Pictures","R",1996,5.9,47000,"Tony Scott","Peter Abrahams","Robert De Niro",55000000,18626419,116,"United States",-36373581
"Elizabeth: The Golden Age","Drama","Universal Pictures","PG-13",2007,6.8,69000,"Shekhar Kapur","William Nicholson","Cate Blanchett",55000000,74237563,114,"United Kingdom",19237563
"Æon Flux","Action","Paramount Pictures","PG-13",2005,5.5,125000,"Karyn Kusama","Phil Hay","Charlize Theron",62000000,52304001,93,"United States",-9695999
"Blade II","Fantasy","New Line Cinema","R",2002,6.7,204000,"Guillermo del Toro","Marv Wolfman","Wesley Snipes",54000000,155010032,117,"Germany",101010032
"Seven Pounds","Drama","Columbia Pictures","PG-13",2008,7.6,291000,"Gabriele Muccino","Grant Nieporte","Will Smith",55000000,168167691,123,"United States",113167691
"The Godfather: Part III","Crime","Paramount Pictures","R",1990,7.6,370000,"Francis Ford Coppola","Mario Puzo","Al Pacino",54000000,136766062,162,"United States",82766062
"Elizabethtown","Comedy","Paramount Pictures","PG-13",2005,6.4,68000,"Cameron Crowe","Cameron Crowe","Orlando Bloom",57000000,52034889,123,"United States",-4965111
"You, Me and Dupree","Comedy","Universal Pictures","PG-13",2006,5.6,79000,"Anthony Russo","Michael LeSieur","Kate Hudson",54000000,130431368,108,"United States",76431368
"Shaft","Action","Paramount Pictures","R",2000,6,75000,"John Singleton","Ernest Tidyman","Samuel L. Jackson",46000000,107196498,99,"Germany",61196498
"Domestic Disturbance","Mystery","Paramount Pictures","PG-13",2001,5.6,25000,"Harold Becker","Lewis Colick","John Travolta",75000000,54249294,89,"United States",-20750706
"Zero Dark Thirty","Thriller","Columbia Pictures","R",2012,7.4,280000,"Kathryn Bigelow","Mark Boal","Jessica Chastain",40000000,132820716,157,"United States",92820716
"The Break-Up","Romance","Universal Pictures","PG-13",2006,5.8,128000,"Peyton Reed","Jeremy Garelick","Jennifer Aniston",52000000,204999686,106,"United States",152999686
"Mamma Mia!","Comedy","Universal Pictures","PG-13",2008,6.4,224000,"Phyllida Lloyd","Catherine Johnson","Meryl Streep",52000000,609841637,108,"United States",557841637
"Valentine's Day","Comedy","New Line Cinema","PG-13",2010,5.7,116000,"Garry Marshall","Katherine Fugate","Julia Roberts",52000000,216485654,125,"United States",164485654
